DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Tobias Harris,Forward,79,0.497,0.303,0.753,4.2,0.54,0.189,0.423,7.5,20.6,10.4,1.4,3.4,11.4,27.2
Tony Bradley,Center-Forward,83,0.573,NA,0.619,6.9,0.59,0,0.59,18.6,19,7.2,1,4.4,9.9,20.7
Tony Snell,Guard,78,0.48,0.38,0.821,2.9,0.571,0.588,0.272,2,9.8,18.1,1.3,1.6,15.6,20.1
Tony Wroten,Guard,78,0.483,0.161,0.583,5,0.488,0.125,0.591,8,10.7,24.5,3.5,1.2,18.7,31.2
Trae Young,Guard,73,0.493,0.36,0.861,2.6,0.585,0.531,0.443,1.3,10,48.6,2.5,0.7,18.2,37.1
Tre Jones,Guard,73,0.464,0.313,0.767,2.6,0.507,0.301,0.288,2.5,9.5,27.4,2.9,0.7,14.1,19.2
Tremont Waters,Guard,70,0.496,0.34,0.807,3.7,0.551,0.468,0.341,1.1,9.7,33.9,4.3,0.4,18.4,26.1
Trey Burke,Guard,72,0.499,0.367,0.777,3.1,0.556,0.374,0.3,2.1,10.1,33.2,2.3,1.4,14,27.4
Trey Lyles,Forward,81,0.536,0.138,0.735,4.3,0.543,0.121,0.425,9.9,16.1,9.2,1.4,2.1,12.4,20.8
Trey Thompkins,Forward,82,0.496,0.357,0.729,4.8,0.536,0.194,0.297,7.8,21.7,11.8,2,4.3,15.3,29.7
Tristan Thompson,Center-Forward,81,0.546,NA,0.487,5.3,0.536,0,0.829,14,13.7,8.1,1.8,7.2,12.7,22.4
Troy Brown Jr.,Guard-Forward,79,0.524,0.291,0.743,4.1,0.532,0.342,0.326,5.9,18,18.7,2.9,0.8,18.8,21
Ty Jerome,Guard-Forward,77,0.479,0.392,0.788,4.8,0.558,0.508,0.181,1.4,12.7,28,3,0.2,13.8,21.9
Tyler Bey,Forward,79,0.549,0.305,0.747,5.3,0.592,0.079,0.538,9.1,27.8,7.5,2.3,4.5,16.4,23
Tyler Dorsey,Guard,76,0.493,0.416,0.732,3.4,0.591,0.496,0.392,4.3,10.3,11.4,1.5,0.5,12.5,22.6
Tyler Ennis,Guard,75,0.429,0.353,0.765,3.8,0.511,0.236,0.414,2.6,9,32.3,3.9,0.7,11.9,21.9
Tyler Herro,Guard,77,0.538,0.355,0.935,2.3,0.58,0.419,0.231,1.6,13.9,15,2,1.1,11.8,21.4
Tyler Honeycutt,Forward,80,0.473,0.359,0.684,3.6,0.528,0.366,0.346,6.9,18.6,17.7,2.2,5.2,22.1,20.4
Tyler Lydon,Forward,82,0.531,0.4,0.809,4.7,0.602,0.42,0.358,7.2,17.9,9.3,2,5.8,13.4,17.3
Tyler Ulis,Guard,70,0.462,0.371,0.846,3.3,0.563,0.39,0.407,2,6.8,31.4,2.5,0.3,12.9,19.3
Tyler Zeller,Forward-Center,83,0.544,0,0.775,5.4,0.597,0.002,0.52,12.3,18.1,4.9,1.6,4.6,11.6,24.1
Tyrell Terry,Guard,74,0.47,0.408,0.891,3.7,0.589,0.456,0.33,1.4,14.4,20.3,2.5,0.2,17.5,24.5
Tyrese Haliburton,Guard,77,0.621,0.426,0.775,2.2,0.645,0.577,0.173,3.5,10.8,24.7,3.2,2.5,16.7,13.6
Tyrese Maxey,Guard,74,0.492,0.292,0.833,4,0.531,0.322,0.342,1.4,12.1,18.7,1.5,1.3,14.1,22.7
Tyrone Wallace,Guard,77,0.464,0.292,0.613,4.8,0.485,0.285,0.379,3.8,15,22.1,2,1.3,14.3,24.9
Tyshawn Taylor,Guard,75,0.518,0.37,0.708,4.2,0.566,0.28,0.438,1.4,7.4,25.9,2.5,0.7,21.3,21.8
Tyus Jones,Guard,74,0.44,0.379,0.889,2.1,0.575,0.383,0.5,1.8,9.9,27.5,2.7,0.2,15.9,18.7
Udoka Azubuike,Center-Forward,83,0.746,NA,0.416,6.8,0.686,0,0.501,13.5,23.9,6.2,1.2,9.4,18.1,23.5
Vernon Carey Jr.,Center,82,0.59,0.381,0.67,6,0.615,0.061,0.632,12,26.1,8.2,1.6,5.8,12.3,31
Victor Oladipo,Guard,75,0.585,0.338,0.716,5.8,0.604,0.188,0.476,10.4,15.7,13.9,3.8,2.3,18,22.7
Vincent Edwards,Forward,80,0.518,0.392,0.82,4.1,0.581,0.355,0.281,8.4,14.1,19.6,1,1.7,14.4,21.3
Wade Baldwin IV,Guard,76,0.436,0.422,0.8,5.1,0.578,0.366,0.552,1.9,13,32.4,2.7,0.7,18.7,22
Wendell Carter Jr.,Center-Forward,82,0.586,0.413,0.738,6,0.628,0.144,0.527,12.8,23.2,13,1.7,7.6,15.8,22.8
Wes Iwundu,Forward,78,0.488,0.338,0.688,4.5,0.54,0.165,0.552,4.9,15,20.6,2,1.6,19.5,19.9
Will Barton,Guard,77,0.546,0.299,0.733,3.9,0.549,0.302,0.311,6.6,16.8,18.4,2.6,1.9,14.5,24.9
Willie Cauley-Stein,Center,84,0.593,NA,0.508,5.9,0.582,0,0.509,11.9,17.3,7,2.7,9.2,14.9,16.9
Xavier Tillman,Forward,79,0.628,0.273,0.695,5.9,0.624,0.129,0.472,11.8,21.6,14.3,2.2,7.2,15.6,19.5
Zach Collins,Forward-Center,83,0.672,0.476,0.743,8.8,0.703,0.101,0.715,12.1,23.3,4.4,1.5,9.8,17.8,24.8
Zach LaVine,Guard,77,0.494,0.375,0.691,4.6,0.545,0.444,0.236,2.4,9.5,12.6,2.1,0.8,11.6,20.1
Zeke Nnaji,Forward-Center,81,0.586,0.294,0.76,4.4,0.63,0.054,0.637,11.5,20.3,5.8,1.3,3.3,14.6,24.1
Zhaire Smith,Guard,75,0.574,0.45,0.717,3.7,0.618,0.144,0.458,9.6,11.1,12.6,2.3,4.8,10.8,18.3
Zion Williamson,Forward,78,0.747,0.338,0.64,3.8,0.702,0.163,0.467,12.7,18,14.9,3.9,5.8,12.8,28.6
