DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Cody Zeller,Forward-Center,83,0.594,0,0.756,5.1,0.643,0.003,0.705,11.8,19.4,9.5,2.5,4.4,13.5,25.4
Cole Anthony,Guard,75,0.402,0.348,0.75,4.7,0.501,0.409,0.371,1.4,16.4,24.1,2.1,0.9,15.9,30
Collin Sexton,Guard,74,0.495,0.336,0.778,4.7,0.567,0.299,0.575,4.1,9.8,27.8,1.6,0.3,14.2,32.9
Cory Jefferson,Forward,81,0.556,0.34,0.66,5.3,0.582,0.063,0.534,11.1,21.3,4.2,1,6.6,9.2,21.4
Cory Joseph,Guard,75,0.429,0.413,0.699,3.3,0.526,0.391,0.227,2.2,9.5,17.3,1.9,0.9,13.1,17.3
D.J. Wilson,Forward,82,0.619,0.363,0.817,4.5,0.614,0.369,0.194,6.2,16,8.6,1.2,5.6,11.5,19
D'Angelo Russell,Guard,76,0.479,0.411,0.756,3.8,0.573,0.449,0.303,3.6,15.4,30.1,2.8,1.1,14.8,30.2
Dakari Johnson,Center,84,0.537,NA,0.559,7.7,0.55,0,0.763,15,17.2,6.7,1.2,5.2,14.1,20.6
Damian Jones,Center,83,0.57,0.125,0.565,6.8,0.573,0.009,0.584,9.6,16.7,6.3,0.9,6.4,14.7,26.6
Damian Lillard,Guard,74,0.497,0.39,0.867,3.5,0.606,0.481,0.458,1.7,14.2,24.3,2.3,0.6,13.4,28.6
Daniel Gafford,Forward-Center,82,0.635,NA,0.562,6.6,0.626,0,0.595,11.1,21.4,6,1.6,10,12.9,25
Daniel Hamilton,Guard-Forward,79,0.409,0.337,0.772,4.2,0.481,0.355,0.237,3.9,25.6,27.8,2,1.4,16.1,25
Daniel Oturu,Center,80,0.574,0.37,0.671,5.6,0.595,0.077,0.426,11.9,22.6,6.7,1,6.5,14.4,26.4
Darius Johnson-Odom,Guard,74,0.476,0.403,0.722,4.3,0.564,0.437,0.344,2.1,9.7,17.1,1.7,0.5,13.2,26.2
